"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 14 17:23:12 GMT 2025","Sat Jun 14 17:23:33 GMT 2025","20840","tests.credentials","Connect exchange","TestConnectExchange","","","Connect new exchange",""
"broken","Sat Jun 14 17:11:07 GMT 2025","Sat Jun 14 17:11:41 GMT 2025","34302","tests.auth","Authorization","TestLogin","","","Authorization with valid data",""
"skipped","Sat Jun 14 17:44:31 GMT 2025","Sat Jun 14 17:44:31 GMT 2025","0","tests.refferals","Register referral","TestRegisterReferral","","","Verify the referral addition",""
"broken","Sat Jun 14 17:34:24 GMT 2025","Sat Jun 14 17:35:03 GMT 2025","38748","tests.profile","Profile avatar","TestProfileAvatar","","","Upload/Delete avatar",""
"passed","Sat Jun 14 17:24:57 GMT 2025","Sat Jun 14 17:25:17 GMT 2025","20430","tests.credentials","Connect exchange","TestConnectExchange","","","Connect new exchange",""
"passed","Sat Jun 14 17:22:54 GMT 2025","Sat Jun 14 17:23:04 GMT 2025","9760","tests.channels","Create channel","TestCreateChannel","","","Create new channel",""
"broken","Sat Jun 14 17:42:08 GMT 2025","Sat Jun 14 17:42:44 GMT 2025","35633","tests.profile","Profile telegram","TestProfileTelegram","","","Telegram status",""
"passed","Sat Jun 14 17:32:35 GMT 2025","Sat Jun 14 17:32:43 GMT 2025","8625","tests.performance","Pages load","TestLoadPage","","","test_load_pages_with_title[bots-Bots-//h1]",""
"broken","Sat Jun 14 17:24:15 GMT 2025","Sat Jun 14 17:24:56 GMT 2025","40628","tests.credentials","Connect exchange","TestConnectExchange","","","Connect new exchange",""
"broken","Sat Jun 14 17:39:33 GMT 2025","Sat Jun 14 17:40:09 GMT 2025","35688","tests.profile","Profile change password","TestLoginHistory","","","Change password validation",""
"passed","Sat Jun 14 17:42:45 GMT 2025","Sat Jun 14 17:42:54 GMT 2025","9823","tests.profile","Profile telegram","TestProfileTelegram","","","Telegram status",""
